Date,Open,High,Low,Close,Volume
2023-06-30,145.0232,170.9325,126.0265,167.3431,3289555.7687773
2023-07-31,167.443,172.8741,155.6669,160.9726,3962099.8837385
2023-08-31,160.8726,163.6509,135.6444,142.3772,3513635.2169952
2023-09-30,142.3815,149.261,137.3327,146.9894,1429144.5446879
2023-10-31,147.0094,175.4526,144.9687,171.8922,1740668.2017297
2023-11-30,171.9722,180.9823,157.3926,167.2368,3288680.9320467
2023-12-31,167.3885,178.8694,159.4211,165.0187,3190490.9363292
2024-01-31,164.9388,173.617,142.1541,165.2074,3524945.2151382
2024-02-29,165.0075,171.2092,100.5467,137.4611,3221696.0652696
2024-03-31,137.8147,155.52,125.6463,127.4853,1414774.4703254
2024-04-30,127.5053,139.8886,104.7189,118.4159,2690679.8301589
2024-05-31,118.3859,149.1468,116.3148,148.8427,2114300.4586285
2024-06-30,148.7643,181.9399,146.9761,167.5981,2163532.9442833
2024-07-31,167.7196,175.4054,133.7246,156.259,1560439.9693077
2024-08-31,156.1838,176.457,134.6075,169.2178,1416881.5334856
2024-09-30,169.3269,178.7107,149.77,153.9507,1371252.2785913
2024-10-31,154.0022,165.7839,135.1635,155.6358,1302027.5969243
2024-11-30,155.5959,169.1877,140.1088,162.9952,1628411.207578
2024-12-31,163.0252,232.1109,151.5688,192.6291,2153490.4140197
2025-01-31,192.5592,241.6576,183.4431,233.4723,1124197.0012025
2025-02-28,233.6246,242.174,189.843,217.4976,924283.04671575
2025-03-31,217.9273,235.3965,195.3023,214.7326,1153546.796602
2025-04-30,214.6141,337.4137,185.0067,274.0752,1856766.882341
2025-05-31,274.0752,420.62,264.5635,324.3749,1640925.4806455
2025-06-30,324.3449,371.0113,289.01,320.218,1250714.5588863
2025-07-31,320.178,357.0428,32,305.9494,1609366.7530872
2025-08-31,305.9294,312.38,232.3994,264.833,1457155.5409833
2025-09-30,265.153,326.9407,257.7958,297.5087,1087679.7831734
2025-10-31,297.4689,352.1804,268.3345,345.7091,2475894.9861889
